symbol,address,city,zip,country,phone,website,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,fitytwoWeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,region,typeDisp,quoteSourceName,customPriceAlertConfidence,shortName,longName,postMarketChangePercent,fullExchangeName,averageDailyVolume3Month,exchange,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,averageAnalystRating,cryptoTradeable,displayName,trailingPegRatio
A,5301 Stevens Creek Boulevard,Santa Clara,95051,United States,800 227 9770,https://www.agilent.com,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass spectrometry systems. This segment is also involved in the genomics, contract development and manufacturing organization, pathology, companion diagnostics, and biomolecular analysis businesses. The Agilent CrossLab segment provides various services, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, consulting, and other custom services. This segment also offers consumables, including gas chromatography and liquid chromatography columns, sample preparation products, custom chemistries, and various laboratory supplies; software and informatics solutions comprising software for instrument control, data acquisition, data analysis, secure storage of results, and laboratory information and workflow management; and OpenLab laboratory software, an open software platform that enables customers to capture, analyze, and share scientific data throughout the lab and across the enterprise. In addition, it provides automated sample preparation solutions, such as liquid handling, plate management, consumables, and scheduling software. The Applied Markets segment offers products in the areas of gas chromatography, mass spectrometry, spectroscopy, vacuum technology, and remarketed instruments. It markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",18000.0,8.0,2.0,8.0,6.0,1772323200.0,http://www.investor.agilent.com/phoenix.zhtml?c=103274&p=irol-irhome,1.02,0.91,1774915200.0,0.22049999,0.66,1.312,24.728476,17.075724,281945.0,2185277.0,2234480.0,31683696640.0,96.43,160.27,179.57,7.51073,4.4845996,128.9088,129.9576,0.999,0.008939598,USD,33372809216.0,0.18259001,281672555.0,282602317.0,4555365.0,4284602.0,1769731200.0,1772150400.0,0.0161,0.00184,0.93233,1.9,0.0183,282839638.0,24.436,4.58422,1761868800.0,1793404800.0,1769817600.0,-0.041,1290000000.0,4.53,6.56019,1398:1000,1414972800.0,4.724,16.932,,0.16888046,0.255,1767657600.0,EQUITY,112.02,buy,17.0,1758000000.0,6.221,1971000064.0,3550000128.0,1.468,2.066,7064999936.0,51.39,24.921,0.08533,0.19945998,3695000064.0,855875008.0,1396000000.0,-0.036,0.07,0.523,0.27898002,0.22859,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,NYSE,2185277.0,NYQ,America/New_York,EDT,-14400000.0,us_market,15.589996,0.16167164,96.43 - 160.27,-48.250008,-0.3010545,-7.6604548,4.53,6.56019,5.96585,18.77687,-16.888802,-0.13101357,-17.9376,-0.13802655,15.0,1.7 - Buy,False,Agilent,1.5197
AAL,1 Skyview Drive,Fort Worth,76155,United States,682 278 9000,https://www.aa.com,Airlines,airlines,Industrials,industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier in the United States, Latin America, Atlantic, and Pacific. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. It also operates a mainline fleet of 1,013 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",139100.0,5.0,1.0,4.0,2.0,1772323200.0,,,,1580774400.0,0.0,1.27,1.194,63.264706,3.966015,2953848.0,65522983.0,106433970.0,7101575680.0,8.5,16.5,63.27,1.45,0.12998693,13.634,12.9373,0.0,0.0,USD,37546291200.0,0.0020299999,650248134.0,660304573.0,50009224.0,41408014.0,1769731200.0,1772150400.0,0.0757,0.01806,0.71166,0.88,0.0762,660304573.0,-5.644,-1.9055635,1767139200.0,1798675200.0,1767139200.0,-0.832,111000000.0,0.17,2.71179,,,0.687,9.615,,0.16888046,0.1,1580774400.0,EQUITY,10.755,buy,24.0,6469000192.0,9.797,3904999936.0,36884000768.0,0.349,0.498,54633000960.0,,82.782,0.01706,,12421000192.0,-706750016.0,3099000064.0,-0.831,0.025,0.22735001,0.07148,0.03622,USD,US,Equity,Nasdaq Real Time Price,HIGH,"American Airlines Group, Inc.",American Airlines Group Inc.,,NasdaqGS,65522983.0,NMS,America/New_York,EDT,-14400000.0,us_market,2.255,0.26529413,8.5 - 16.5,-5.745,-0.3481818,-5.179983,0.17,2.71179,1.72989,6.2171583,-2.8789997,-0.21116325,-2.1822996,-0.16868277,15.0,2.1 - Buy,False,American Airlines,0.0954
AAP,4200 Six Forks Road,Raleigh,27609,United States,540 362 4911,https://www.AdvanceAutoParts.com,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,"Advance Auto Parts, Inc. provides automotive aftermarket parts. The company offers batteries and battery accessories; belts and hoses; brakes and brake pads; chassis parts; climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also provides air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluid; electrical wire and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives, and compounds; tire repair accessories; vent shades, mirrors, and exterior accessories; washes, waxes, and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oil; oil filters; part cleaners and treatments; and transmission fluid. Further, it provides battery and wiper installation; engine light scanning; electrical system testing, including batteries, starters, and alternators; oil and battery recycling; and loaner tool program services. The company serves professional installers and do-it-yourself customers. It operates stores and independently owned branded stores in the United States, Canada, Puerto Rico, the U.S. Virgin Islands, Mexico, and various Caribbean islands primarily under the Advance Auto Parts and Carquest trade brands. The company also offers its products online. The company was founded in 1929 and is based in Raleigh, North Carolina.",28274.0,8.0,4.0,1.0,2.0,1772323200.0,http://phx.corporate-ir.net/phoenix.zhtml?c=130560&p=irol-irhome,1.0,2.07,1775779200.0,0.885,2.91,1.108,43.224247,12.48014,94482.0,1984088.0,1621020.0,2935488256.0,28.89,70.0,244.55,12.33,0.34129617,50.3466,52.9065,1.0,0.020686802,USD,5441233920.0,0.0051200003,59593958.0,60100000.0,11433921.0,11546779.0,1769731200.0,1772150400.0,0.1902,0.010240001,1.27153,5.24,0.2949,60100000.0,36.633,1.3333169,1767398400.0,1798934400.0,1767398400.0,,68000000.0,1.13,3.91369,3:2,1127692800.0,0.633,11.504,,0.16888046,0.25,1767916800.0,EQUITY,48.8434,hold,20.0,3123000064.0,51.963,473000000.0,5658999808.0,0.839,1.746,8600999936.0,257.461,143.589,0.011109999,0.031140001,3772999936.0,-260250000.0,-46000000.0,,-0.012,0.43867,0.05499,0.03396,USD,US,Equity,Nasdaq Real Time Price,HIGH,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",,NYSE,1984088.0,NYQ,America/New_York,EDT,-14400000.0,us_market,19.9534,0.69066805,28.89 - 70.0,-21.1566,-0.30223715,31.767214,1.13,3.91369,2.75003,17.761042,-1.5032005,-0.029857041,-4.0631027,-0.0767978,15.0,3.0 - Hold,False,Advance Auto Parts,0.6132
AAPL,One Apple Park Way,Cupertino,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Technology,technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV, which offers exclusive original content and live sports; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers and resellers. The company was formerly known as Apple Computer, Inc. and changed its name to Apple Inc. in January 2007. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",150000.0,2.0,1.0,1.0,1.0,1772323200.0,http://investor.apple.com/,1.04,0.42,1770595200.0,0.1304,0.52,1.116,31.392902,26.573074,12150301.0,45621310.0,36372450.0,3640529256448.0,169.21,288.62,288.62,0.049107,8.357179,261.6448,246.36314,1.03,0.0041372105,USD,3678618517504.0,0.27037,14656182062.0,14681140000.0,129553812.0,116854414.0,1769731200.0,1772150400.0,0.0088,0.01638,0.65265,2.41,0.0088,14697926000.0,5.998,41.295433,1758931200.0,1790467200.0,1766793600.0,0.159,117776998400.0,7.89,9.32109,4:1,1598832000.0,8.445,24.059,,0.16888046,0.26,1770595200.0,EQUITY,247.69,buy,41.0,66907000832.0,4.557,152901992448.0,90509000704.0,0.845,0.974,435617005568.0,102.63,29.305,0.24377,1.5202099,206157004800.0,106312753152.0,135471996928.0,0.183,0.157,0.47325,0.35099998,0.35374,USD,US,Equity,Nasdaq Real Time Price,HIGH,Apple Inc.,Apple Inc.,,NasdaqGS,45621310.0,NMS,America/New_York,EDT,-14400000.0,us_market,78.479996,0.46380234,169.21 - 288.62,-40.929993,-0.14181274,14.509546,7.89,9.32109,8.51182,29.099535,-13.954803,-0.053334914,1.3268585,0.0053857835,15.0,1.9 - Buy,False,Apple,2.2115
ABBV,1 North Waukegan Road,North Chicago,60064-6400,United States,847 932 7900,https://www.abbvie.com,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma; and Emrelis for the treatment of lung cancer. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox Cosmetic for the treatment of glabellar lines, crow's feet, forehead lines, and platysma bands; Juvederm Collection to treat volume loss in the temples, undereye, cheeks, chin, lips and lower face; Vraylar to treat schizophrenia, bipolar disorder, and depressive disorder; Duodopa to treat Parkinson's disease; Ubrelvy to treat migraine; Qulipta for episodic and chronic migraine; and Vyalev for the treatment of motor fluctuations, as well as Botox Therapeutic to treat chronic migraine, overactive bladder, spasticity, cervical dystonia, and other conditions. In addition, the company offers Ozurdex for visual impairment; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; and other eye care products, including Refresh/Optive, Xen, Durysta, and Restasis. Further, it provides Mavyret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; and Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",57000.0,6.0,4.0,9.0,7.0,1772323200.0,,6.92,3.36,1776211200.0,2.7679,3.67,0.334,87.56726,12.877602,1458244.0,6608562.0,6552210.0,366955888640.0,164.39,244.81,244.81,33.33,5.999933,224.0404,215.06364,6.65,0.032245554,USD,427834507264.0,0.0691,1765057035.0,1768169012.0,21748668.0,19684551.0,1769731200.0,1772150400.0,0.0123000005,0.00114,0.7641,3.07,0.0123000005,1768169012.0,-1.85,-112.18075,1767139200.0,1798675200.0,1767139200.0,,4185999872.0,2.37,16.11592,,,6.995,14.625,,0.16888046,1.73,1768521600.0,EQUITY,207.5344,buy,29.0,5256999936.0,2.973,29254000640.0,68400001024.0,0.412,0.671,61160001536.0,,34.573,0.09807,62.25,43803000832.0,18337748992.0,19029999616.0,,0.1,0.71620005,0.47832,0.34108,USD,US,Equity,Nasdaq Real Time Price,HIGH,AbbVie Inc.,AbbVie Inc.,,NYSE,6608562.0,NYQ,America/New_York,EDT,-14400000.0,us_market,43.144394,0.26245144,164.39 - 244.81,-37.275604,-0.1522634,-0.7951975,2.37,16.11592,14.5364,14.276877,-16.506012,-0.07367426,-7.529251,-0.03500941,15.0,1.9 - Buy,False,AbbVie,0.4888
ABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,USD,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
ABT,100 Abbott Park Road,Abbott Park,60064-6400,United States,224 667 6100,https://www.abbott.com,Medical Devices,medical-devices,Healthcare,healthcare,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, hypertriglyceridemia, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also provides laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion serology testing; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; and drug and alcohol test. In addition, the company offers pediatric and adult nutritional products and infant formula; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in Abbott Park, Illinois.",115000.0,9.0,6.0,2.0,7.0,1772323200.0,http://www.abbottinvestor.com/phoenix.zhtml?c=94004&p=irol-irhome,2.52,2.35,1776211200.0,0.6344,1.75,0.744,28.879032,17.213919,2054925.0,9643266.0,9422290.0,186679279616.0,105.27,139.06,142.6,0.478711,4.211317,113.951,125.94985,2.4,0.02239015,USD,192100220928.0,0.14718,1727204659.0,1737674869.0,18233629.0,18726478.0,1769731200.0,1772150400.0,0.0105,0.0053899996,0.82066,1.66,0.0105,1737682887.0,30.018,3.5788527,1767139200.0,1798675200.0,1767139200.0,-0.808,6499999744.0,3.72,6.24088,10000:4798,1357084800.0,4.334,15.964,,0.16888046,0.63,1768435200.0,EQUITY,107.43,buy,25.0,8938999808.0,5.144,12033000448.0,14136000512.0,1.023,1.576,44328001536.0,26.787,25.461,0.066300005,0.12961,25117999104.0,6288999936.0,9566000128.0,-0.809,0.044,0.56664,0.27145,0.21616,USD,US,Equity,Nasdaq Real Time Price,HIGH,Abbott Laboratories,Abbott Laboratories,,NYSE,9643266.0,NYQ,America/New_York,EDT,-14400000.0,us_market,2.1600037,0.020518702,105.27 - 139.06,-31.629997,-0.22745577,-14.128542,3.72,6.24088,5.67656,18.925194,-6.520996,-0.05722632,-18.519852,-0.14704147,15.0,1.7 - Buy,False,,1.5468
ACN,1 Grand Canal Square,Dublin,D02 P820,Ireland,353 1 646 2000,https://www.accenture.com,Information Technology Services,information-technology-services,Technology,technology,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data, AI, cloud; and automation and global delivery services. The company also operates business processes for specific enterprise functions, including finance and accounting, sourcing and procurement, supply chain, marketing and sales, and human resources, as well as industry-specific services, such as platform trust and safety, banking, insurance, network and health services; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; financial services; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; and chemicals, natural resources, energy, and utilities sectors. Accenture plc has collaboration with Amazon Web Services (AWS) to deliver transformative digital services to public sector, defense, and national security organizations. It has a collaboration with OpenAI to help enterprise clients unlock new levels of innovation and growth by bringing agentic AI systems. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",779000.0,1.0,3.0,4.0,2.0,1772323200.0,http://investor.accenture.com/phoenix.zhtml?c=129731&p=irol-irhome,6.52,3.2,1768262400.0,0.5017,1.53,,16.878412,13.689091,997311.0,5682566.0,6498370.0,126545534976.0,188.73,325.71,417.37,11.3,1.7548878,238.2934,257.74335,6.37,0.03129452,USD,135895769088.0,0.10606,663831710.0,615435159.0,15229834.0,12224283.0,1769731200.0,1772150400.0,0.0247,0.0008,0.82737,2.12,0.0276,620138892.0,50.759,4.020174,1756598400.0,1788134400.0,1772236800.0,0.021,7648264192.0,12.09,14.90676,,,1.885,10.652,,0.16888046,1.48,1752105600.0,EQUITY,204.06,buy,27.0,9405595648.0,14.141,12757208064.0,8347366912.0,1.2,1.336,72110325760.0,25.469,116.149,0.11163,0.24763,23094063104.0,12164801536.0,13080248320.0,0.038,0.083,0.32026002,0.17691,0.13819,USD,US,Equity,Nasdaq Real Time Price,HIGH,Accenture plc,Accenture plc,,NYSE,5682566.0,NYQ,America/New_York,EDT,-14400000.0,us_market,15.330002,0.08122716,188.73 - 325.71,-121.649994,-0.37349173,-36.083454,12.09,14.90676,13.8584,14.724643,-34.2334,-0.14366071,-53.68335,-0.20828219,15.0,1.9 - Buy,False,Accenture,1.576
ADBE,345 Park Avenue,San Jose,95110-2704,United States,408 536 6000,https://www.adobe.com,Software - Application,software-application,Technology,technology,"Adobe Inc. operates as a technology company worldwide. The Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content. This segment serves photographers, video editors, graphic and experience designers, game developers, content creators, students, marketers, business owners, knowledge workers, and consumers. The Digital Experience segment provides an integrated platform; and products, services, and solutions that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers e-learning, technical document publishing, web conferencing, document and forms platform, web application development, printing, and Adobe Advertising solutions. It also provides consulting, training, customer management, technical support, and learning services. The company offers its solutions to enterprise customers, and businesses and consumers; and licenses its products to end-user customers through app stores and website at adobe.com. It markets and distributes its products through distributors, retailers, software developers, mobile app stores, systems integrators, independent software vendors, value-added resellers, and original equipment and hardware manufacturers. The company has a strategic alliance with HUMAIN for the development of generative AI models and AI-powered applications. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",31360.0,1.0,7.0,1.0,1.0,1772323200.0,http://www.adobe.com/aboutadobe/invrelations/,,,1111622400.0,0.0,0.12,1.532,14.150553,9.218595,938028.0,5561133.0,7854940.0,99737133056.0,241.02,422.95,699.54,0.207031,4.078728,281.0932,337.02414,0.0,0.0,USD,100621901824.0,0.29477,408683900.0,407636918.0,14296921.0,11939563.0,1769731200.0,1772150400.0,0.035099998,0.00248,0.8782,2.34,0.039100002,410500000.0,27.885,8.713107,1764288000.0,1795824000.0,1772150400.0,0.043,7208000000.0,17.17,26.35597,2:1,1116892800.0,4.115,10.643,,0.16888046,0.0065,1111622400.0,EQUITY,242.965,buy,34.0,6889999872.0,16.805,9454000128.0,6656000000.0,0.789,0.912,24452999168.0,58.217,58.263,0.18775,0.58774,21859999744.0,9292624896.0,10506999808.0,0.111,0.12,0.89396006,0.38662,0.37793,USD,US,Equity,Nasdaq Real Time Price,HIGH,Adobe Inc.,Adobe Inc.,,NasdaqGS,5561133.0,NMS,America/New_York,EDT,-14400000.0,us_market,1.9449921,0.008069837,241.02 - 422.95,-179.98502,-0.42554677,-36.476784,17.17,26.35597,23.54754,10.318063,-38.128204,-0.13564257,-94.05914,-0.27908725,15.0,2.4 - Buy,False,Adobe,0.7002
